,price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,semi-furnished,unfurnished
130,5866000,3,1,1,1,1,1,0,0,0,0,0,1
131,5810000,4,1,4,1,1,0,0,0,0,0,1,0
132,5810000,3,1,3,1,0,0,0,1,0,0,1,0
133,5810000,3,1,3,1,0,0,0,1,0,0,0,1
134,5803000,3,1,1,1,0,1,0,0,2,1,1,0
135,5775000,3,2,4,1,0,0,0,1,0,0,0,1
136,5740000,4,2,2,1,0,0,0,1,2,0,0,1
137,5740000,4,1,2,1,0,0,0,0,1,0,1,0
138,5740000,3,1,3,1,0,0,0,1,0,0,1,0
139,5740000,3,1,1,1,1,1,0,1,2,1,0,0
140,5740000,3,2,4,1,0,0,0,1,0,0,0,1
141,5652500,4,2,2,1,1,1,0,0,1,1,1,0
142,5600000,4,2,2,1,0,0,0,0,1,0,1,0
143,5600000,5,2,3,0,0,1,1,0,0,0,0,1
144,5600000,4,1,2,1,1,1,0,1,1,0,0,0
145,5600000,3,1,4,1,0,0,0,0,0,0,0,0
146,5600000,2,1,1,1,0,0,0,0,1,0,1,0
147,5600000,3,2,2,1,0,0,0,0,1,0,1,0
148,5600000,3,1,3,1,0,0,0,0,0,1,1,0
149,5600000,4,2,1,1,0,1,0,0,0,1,1,0
150,5600000,3,1,2,1,1,1,0,1,0,1,0,1
151,5565000,4,1,2,1,0,0,0,1,2,1,1,0
152,5565000,5,1,2,1,1,1,0,1,0,1,0,0
153,5530000,3,3,2,1,0,1,0,0,0,0,1,0
154,5530000,3,2,2,1,0,0,0,0,2,0,1,0
155,5530000,3,2,1,1,0,1,0,0,2,1,0,0
156,5523000,3,1,1,1,1,1,0,0,0,1,1,0
157,5495000,4,2,2,0,1,1,0,0,1,0,0,0
158,5495000,3,1,1,1,0,0,0,0,2,0,1,0
159,5460000,3,2,1,1,1,1,0,1,0,0,0,0
160,5460000,4,1,4,1,1,0,0,1,0,0,0,0
161,5460000,3,1,3,1,1,0,0,1,0,1,1,0
162,5460000,4,2,2,1,1,1,0,0,0,1,1,0
163,5425000,3,1,1,1,1,1,0,1,0,1,1,0
164,5390000,3,2,2,1,1,1,0,0,1,1,0,0
165,5383000,3,2,1,1,1,1,1,0,0,0,0,1
166,5320000,3,1,1,1,0,1,0,1,2,1,0,1
167,5285000,2,2,1,1,0,0,0,1,2,0,1,0
168,5250000,4,1,2,1,0,1,0,1,0,0,0,0
169,5250000,4,2,2,0,0,0,0,1,0,0,1,0
170,5250000,3,2,1,1,0,1,0,0,0,0,1,0
171,5250000,3,1,1,1,0,0,0,0,1,1,1,0
172,5250000,3,1,2,1,1,1,0,1,2,1,0,1
173,5250000,4,2,1,1,0,0,0,1,0,1,0,1
174,5250000,3,1,2,1,1,1,0,0,1,1,0,1
175,5250000,4,2,2,1,1,0,0,0,2,0,1,0
176,5250000,3,1,1,1,0,0,0,1,2,0,0,0
177,5243000,3,1,1,1,0,1,0,0,0,1,1,0
178,5229000,3,1,1,1,1,1,0,0,2,1,1,0
179,5215000,3,2,2,1,0,0,0,0,2,0,1,0
180,5215000,4,2,1,0,0,1,0,1,2,0,1,0
181,5215000,3,1,2,1,1,1,0,0,1,1,0,0
182,5145000,3,1,2,0,0,0,0,1,0,0,1,0
183,5145000,3,1,1,1,0,0,0,0,1,1,1,0
184,5110000,3,2,2,1,1,1,0,0,0,0,0,0
185,5110000,3,1,2,1,0,1,0,0,0,0,0,1
186,5110000,2,1,2,1,0,0,0,0,0,1,0,0
187,5110000,3,1,1,1,0,1,0,1,0,1,1,0
188,5075000,2,1,2,1,0,0,0,1,0,1,0,1
189,5040000,2,1,1,0,1,1,0,0,0,0,1,0
190,5040000,4,1,2,1,0,0,0,1,2,0,0,0
191,5040000,3,1,2,1,1,1,0,0,0,0,1,0
192,5040000,3,1,1,1,1,1,0,0,0,1,0,0
193,5033000,2,1,1,1,1,1,0,0,0,0,1,0
194,5005000,3,2,1,1,1,1,0,0,0,0,1,0
195,4970000,4,3,2,1,0,1,0,0,2,0,1,0
196,4970000,3,1,1,1,1,1,1,0,0,0,1,0
197,4956000,3,2,2,0,0,1,0,1,1,0,1,0
198,4935000,3,1,2,1,0,0,0,1,0,0,1,0
199,4907000,3,1,2,1,0,0,0,0,1,0,0,0
200,4900000,3,1,2,1,0,1,0,1,0,0,1,0
201,4900000,3,1,2,0,1,1,0,1,0,0,1,0
202,4900000,2,1,1,1,0,1,0,0,1,0,1,0
203,4900000,4,1,2,1,0,0,0,0,0,0,1,0
204,4900000,3,1,1,1,1,1,0,0,0,0,1,0
205,4900000,3,1,1,1,0,0,0,1,2,0,1,0
206,4900000,2,1,1,1,1,1,0,1,0,0,1,0
207,4900000,3,1,2,1,0,1,0,1,0,0,1,0
208,4900000,3,1,3,1,0,0,0,0,0,0,1,0
209,4900000,3,1,1,1,0,0,0,0,0,0,0,1
210,4900000,3,1,2,1,1,1,0,0,2,0,1,0
211,4900000,3,1,1,1,0,0,0,0,2,0,0,0
212,4893000,4,2,2,1,0,1,0,1,2,0,1,0
213,4893000,4,2,1,1,0,1,0,0,0,0,1,0
214,4865000,2,1,1,1,0,1,0,0,0,0,0,1
215,4830000,3,1,3,1,0,0,0,0,0,0,0,1
216,4830000,3,1,1,1,0,0,0,0,2,1,1,0
217,4830000,3,1,2,1,0,0,0,1,2,1,0,0
218,4830000,2,1,1,1,0,0,0,1,0,1,1,0
219,4795000,3,1,2,1,0,1,0,0,0,0,0,1
220,4795000,4,1,4,1,0,1,0,1,2,0,1,0
221,4767000,4,2,2,1,0,0,0,0,0,0,1,0
222,4760000,2,1,1,1,0,1,0,1,2,0,1,0
223,4760000,3,1,2,1,0,1,0,1,1,0,0,0
224,4760000,2,1,1,1,0,0,0,1,2,1,0,1
225,4753000,2,1,1,1,0,0,0,1,3,0,1,0
226,4690000,3,1,4,1,0,0,0,1,0,0,1,0
227,4690000,2,1,1,1,0,1,0,1,1,0,0,0
228,4690000,3,1,2,1,0,0,0,0,2,0,1,0
229,4690000,4,2,2,1,1,1,0,0,1,0,1,0
230,4690000,2,1,2,1,0,0,0,0,0,1,1,0
231,4690000,3,1,1,1,0,0,0,0,0,1,1,0
232,4655000,3,1,2,1,0,1,0,0,0,0,0,0
233,4620000,3,1,1,1,1,1,0,1,0,0,0,1
234,4620000,3,2,2,1,0,1,0,0,2,0,1,0
235,4620000,3,1,2,1,1,0,0,1,1,0,1,0
236,4620000,2,1,2,1,1,1,0,0,0,1,1,0
237,4620000,3,1,2,1,0,1,0,0,0,0,1,0
238,4613000,4,2,2,1,0,1,0,0,0,0,1,0
239,4585000,3,1,2,1,0,0,0,0,1,0,0,0
240,4585000,3,1,2,1,0,0,0,0,1,1,1,0
241,4550000,3,1,1,1,0,0,0,0,2,0,1,0
242,4550000,3,1,2,1,0,0,0,1,0,0,0,0
243,4550000,3,1,2,1,0,1,0,0,0,0,0,0
244,4550000,3,1,2,1,1,1,0,0,0,1,1,0
245,4550000,3,1,2,1,0,0,0,0,2,1,0,1
246,4550000,3,1,1,1,0,0,0,0,0,1,1,0
247,4550000,4,1,4,1,0,0,0,0,3,0,0,1
248,4543000,2,2,1,1,1,1,0,0,0,0,1,0
249,4543000,4,2,2,1,1,1,0,0,0,1,0,0
250,4515000,3,1,3,1,0,0,0,0,0,0,1,0
251,4515000,3,1,2,1,0,1,0,0,1,0,1,0
252,4515000,3,1,1,1,0,0,0,0,0,0,1,0
253,4515000,2,1,2,1,0,0,0,0,0,1,0,0
254,4480000,4,1,2,1,0,0,0,1,2,0,1,0
255,4480000,2,1,1,1,0,0,0,1,1,0,0,1
256,4480000,3,1,2,1,0,0,0,0,2,0,0,0
257,4480000,3,1,1,1,0,0,0,0,0,0,0,0
258,4480000,3,1,2,1,0,0,0,0,1,0,1,0
259,4473000,2,1,1,1,0,1,0,1,1,0,0,0
260,4473000,3,1,2,1,0,0,0,1,1,0,0,0
261,4473000,3,1,2,1,0,0,0,0,0,0,1,0
262,4445000,2,1,1,1,1,1,0,0,0,0,1,0
263,4410000,3,1,2,0,0,0,0,0,0,0,1,0
264,4410000,2,1,2,1,0,1,0,0,0,0,1,0
265,4403000,3,1,2,1,0,0,0,0,0,1,1,0
266,4403000,3,1,1,1,0,0,0,0,2,1,0,1
267,4403000,3,1,2,1,0,0,0,0,1,0,1,0
268,4382000,4,1,2,1,0,0,0,1,0,0,1,0
269,4375000,3,1,2,1,0,0,0,0,0,0,0,1
270,4340000,3,2,3,1,0,0,1,0,1,0,0,0
271,4340000,5,1,2,0,0,1,0,0,0,0,1,0
272,4340000,3,1,1,1,1,1,0,0,2,0,1,0
273,4340000,4,1,2,1,0,0,0,0,2,0,0,0
274,4340000,4,1,2,1,0,0,0,0,0,0,1,0
275,4319000,2,1,1,1,0,1,0,0,0,0,0,0
276,4305000,2,1,1,1,0,0,0,0,1,0,1,0
277,4305000,2,1,1,1,0,0,0,0,1,1,1,0
278,4277000,3,1,2,1,0,1,0,0,2,1,1,0
279,4270000,2,1,1,1,0,0,0,0,0,0,0,0
280,4270000,2,1,2,1,0,0,0,0,0,0,0,1
281,4270000,2,1,1,1,0,0,0,1,2,0,0,0
282,4270000,3,1,2,0,1,1,0,1,0,0,0,1
283,4270000,4,1,2,1,0,0,0,0,0,0,0,0
284,4270000,2,1,1,1,0,0,0,0,1,0,0,0
285,4235000,3,1,2,1,1,0,0,0,0,0,1,0
286,4235000,3,1,1,1,0,1,0,0,0,1,0,0
287,4200000,3,1,2,1,0,0,0,1,0,0,0,1
288,4200000,3,1,2,1,0,1,0,1,0,0,0,1
289,4200000,2,1,1,1,1,1,0,0,2,0,1,0
290,4200000,4,3,2,0,0,0,0,0,0,0,1,0
291,4200000,3,1,2,1,0,1,0,1,0,0,0,1
292,4200000,4,2,2,0,0,0,0,0,0,0,1,0
293,4200000,2,1,1,0,0,0,0,0,1,0,0,1
294,4200000,4,2,2,0,0,0,0,0,0,0,1,0
295,4200000,3,1,2,0,0,0,0,0,0,0,1,0
296,4200000,3,2,2,1,0,0,0,1,1,0,1,0
297,4200000,3,2,2,1,0,1,0,0,0,0,0,1
298,4200000,3,1,1,1,0,0,1,0,2,0,1,0
299,4200000,3,1,1,1,0,0,0,0,3,0,0,0
300,4200000,3,1,3,1,0,0,0,0,0,0,1,0
301,4200000,3,1,2,1,0,0,0,0,0,1,1,0
302,4200000,3,1,3,1,0,0,0,0,1,1,0,1
303,4200000,3,1,1,1,0,1,0,0,0,0,0,0
304,4193000,3,1,1,1,0,1,0,0,3,0,1,0
305,4193000,3,1,2,1,0,0,0,0,1,0,1,0
306,4165000,3,1,2,1,0,0,0,0,1,0,1,0
307,4165000,3,1,2,1,0,0,0,0,2,0,1,0
308,4165000,3,1,2,1,0,1,0,0,1,0,1,0
309,4130000,4,1,2,1,0,0,0,1,0,0,1,0
310,4130000,3,1,1,1,0,1,0,0,0,0,1,0
311,4123000,2,1,1,1,0,1,0,0,1,0,1,0
312,4098500,3,1,1,1,0,1,0,1,0,1,0,0
313,4095000,3,2,2,1,0,0,0,0,0,0,1,0
314,4095000,2,1,2,1,0,0,0,0,1,0,1,0
315,4095000,2,1,1,1,0,0,0,1,0,0,1,0
316,4060000,4,2,2,0,0,1,0,0,1,0,0,1
317,4060000,3,2,2,1,0,0,0,0,2,0,0,1
318,4060000,3,1,1,1,0,0,0,0,0,0,1,0
319,4060000,4,1,3,1,0,1,0,1,2,0,1,0
320,4060000,3,1,2,1,0,0,0,0,2,1,0,0
321,4025000,3,2,2,1,0,0,1,0,2,0,1,0
322,4025000,3,2,1,1,0,1,0,1,1,0,0,0
323,4025000,3,1,1,1,0,0,0,0,3,0,1,0
324,4007500,3,1,2,0,0,1,0,1,0,0,1,0
325,4007500,4,1,2,1,0,0,0,1,0,0,1,0
326,3990000,4,1,1,0,0,1,0,0,0,0,0,1
327,3990000,3,1,2,0,0,0,0,1,1,0,1,0
328,3990000,3,2,2,0,0,1,0,1,0,0,1,0
329,3990000,3,1,2,1,0,0,0,0,0,0,0,0
330,3990000,2,1,2,1,1,1,0,0,0,1,0,1
331,3920000,3,2,1,1,1,1,0,0,3,0,0,0
332,3920000,4,1,2,1,1,1,0,0,0,0,1,0
333,3920000,3,1,2,1,0,0,0,0,0,0,1,0
334,3920000,2,1,1,1,0,0,1,0,1,0,0,0
335,3920000,2,1,1,1,0,1,0,1,2,0,0,0
336,3920000,3,1,1,1,0,0,0,1,2,0,1,0
337,3920000,4,2,1,1,0,1,0,0,0,1,0,1
338,3885000,2,1,2,1,1,1,0,0,0,0,1,0
339,3885000,4,2,2,1,0,0,0,0,0,0,0,0
340,3850000,5,2,2,1,0,0,0,0,0,0,1,0
341,3850000,2,2,1,1,0,1,0,0,2,0,1,0
342,3850000,3,1,2,1,0,0,0,1,0,0,0,0
343,3850000,2,1,1,1,0,0,0,0,0,0,1,0
344,3850000,2,1,1,1,0,0,0,0,0,0,1,0
345,3850000,3,1,2,1,0,1,0,0,0,1,1,0
346,3850000,2,1,2,1,1,0,0,0,0,1,1,0
347,3836000,3,1,2,1,0,0,0,0,0,0,0,1
348,3815000,2,2,1,0,0,1,0,0,0,0,1,0
349,3780000,3,1,2,1,0,0,0,0,0,0,1,0
350,3780000,2,1,2,1,0,0,1,0,1,0,1,0
351,3780000,2,1,1,1,0,0,0,0,0,0,1,0
352,3780000,2,1,1,1,0,0,0,0,2,0,0,1
353,3780000,3,1,3,1,0,0,0,0,0,1,0,0
354,3780000,2,1,1,1,0,0,0,0,1,0,0,0
355,3773000,3,1,1,1,0,0,0,0,2,0,0,0
356,3773000,5,2,1,0,0,1,0,1,1,0,0,0
357,3773000,4,1,2,0,0,0,0,0,1,0,0,0
358,3745000,2,1,1,1,0,0,0,0,0,1,1,0
359,3710000,3,1,1,1,0,0,0,0,1,0,0,1
360,3710000,2,1,1,1,0,0,0,0,0,0,1,0
361,3710000,3,1,1,1,0,0,0,0,0,0,1,0
362,3710000,2,1,1,1,0,0,0,0,0,0,0,0
363,3710000,2,1,1,1,0,0,1,0,0,0,1,0
364,3703000,3,1,2,0,0,1,1,0,0,0,1,0
365,3703000,2,1,1,1,0,0,0,0,0,0,0,0
366,3675000,2,1,1,1,0,1,0,0,0,0,0,0
367,3675000,2,1,1,1,0,0,0,1,0,0,0,1
368,3675000,2,1,1,0,0,0,0,0,0,0,1,0
369,3675000,2,1,1,1,0,0,0,0,0,0,0,0
370,3640000,2,1,1,1,0,0,0,1,2,0,1,0
371,3640000,3,1,2,1,0,1,0,0,0,0,1,0
372,3640000,3,1,2,0,0,1,0,0,0,0,1,0
373,3640000,2,1,2,1,0,0,0,1,0,0,0,0
374,3640000,2,2,1,1,0,1,0,0,0,0,1,0
375,3640000,3,1,2,1,1,1,0,0,0,0,0,1
376,3640000,3,2,2,1,0,0,0,0,2,0,1,0
377,3640000,3,2,2,0,0,1,0,0,0,1,0,1
378,3640000,3,1,3,1,0,0,1,1,0,1,1,0
379,3633000,3,1,1,1,0,0,0,0,2,1,0,1
380,3605000,2,1,1,1,0,0,0,0,0,0,1,0
381,3605000,2,1,1,1,0,0,0,0,0,1,1,0
382,3570000,3,1,2,1,0,1,0,0,0,0,0,0
383,3570000,4,2,2,1,0,1,0,0,2,0,0,0
384,3570000,2,1,1,0,0,0,0,0,0,0,0,0
385,3570000,2,1,1,1,0,0,0,0,0,0,0,1
386,3535000,3,1,1,1,0,0,0,0,2,0,0,1
387,3500000,3,1,2,1,0,0,0,1,0,0,1,0
388,3500000,3,1,2,1,0,0,0,0,0,0,0,1
389,3500000,4,1,2,1,0,0,0,0,0,0,1,0
390,3500000,3,2,2,0,0,0,0,0,0,0,0,1
391,3500000,3,1,2,1,0,1,0,0,0,0,1,0
392,3500000,3,1,2,1,0,0,0,0,0,0,1,0
393,3500000,3,1,1,0,0,0,0,0,0,0,0,1
394,3500000,3,1,1,0,0,0,0,1,0,0,0,1
395,3500000,6,1,2,1,0,0,0,0,1,0,0,1
396,3500000,2,1,1,1,0,0,0,0,1,0,1,0
397,3500000,2,1,1,1,0,0,0,0,1,0,0,0
398,3500000,3,1,2,1,0,0,0,0,1,0,0,1
399,3500000,2,1,1,1,0,0,0,0,1,0,1,0
400,3500000,2,1,1,1,0,0,0,0,1,1,0,1
401,3500000,3,1,2,1,0,0,0,0,3,1,0,1
402,3500000,2,1,1,1,0,0,0,0,0,0,0,1
403,3500000,3,1,1,1,0,0,0,0,0,0,0,1
404,3493000,3,1,2,0,0,0,0,0,0,0,0,1
405,3465000,3,1,1,1,0,0,0,0,0,0,0,1
406,3465000,2,1,1,1,0,0,0,0,1,1,0,1
407,3465000,3,1,3,1,0,0,0,0,0,1,0,0
408,3430000,2,1,1,1,0,0,0,0,0,0,0,1
409,3430000,2,1,1,1,0,0,0,0,2,0,0,1
410,3430000,3,1,1,1,0,0,0,0,0,0,0,1
411,3430000,3,1,3,1,0,0,0,0,0,1,0,0
412,3430000,3,1,2,1,0,1,0,0,0,1,0,1
413,3430000,3,2,2,1,0,1,0,0,0,1,0,1
414,3423000,2,1,1,1,0,0,0,0,0,0,0,1
415,3395000,3,1,2,1,1,1,0,1,1,0,0,0
416,3395000,3,1,1,1,0,1,0,0,2,0,0,1
417,3395000,2,1,1,1,0,0,0,0,0,0,0,0
418,3360000,4,1,2,1,0,0,0,1,2,0,0,1
419,3360000,4,1,3,0,0,0,0,0,0,0,1,0
420,3360000,2,1,2,1,0,0,0,0,0,0,0,1
421,3360000,2,1,1,1,0,0,0,0,0,0,0,1
422,3360000,2,1,1,0,0,0,0,1,0,0,0,1
423,3360000,3,1,1,1,0,0,0,0,0,0,0,1
424,3360000,3,1,2,0,0,1,0,0,0,0,1,0
425,3360000,2,1,1,1,0,1,0,0,2,0,0,0
426,3353000,3,1,1,0,0,0,0,0,0,0,0,0
427,3332000,3,1,2,1,0,1,0,0,0,1,0,0
428,3325000,2,1,1,1,0,0,0,0,1,0,0,1
429,3325000,4,1,2,1,0,0,0,0,0,0,0,1
430,3290000,2,1,1,0,0,0,0,1,0,0,0,1
431,3290000,4,1,2,1,0,1,0,1,0,0,0,1
432,3290000,3,1,1,1,1,1,0,0,0,0,0,0
433,3290000,4,1,2,0,0,0,0,0,1,0,1,0
434,3290000,4,1,2,1,0,0,0,0,0,0,1,0
435,3290000,2,1,1,1,0,0,0,0,0,0,0,1
436,3290000,3,1,2,1,0,1,0,0,0,1,0,0
437,3290000,3,1,1,1,0,0,0,0,1,0,0,1
438,3255000,2,1,1,0,0,0,0,0,0,0,1,0
439,3255000,2,1,1,0,0,0,0,0,0,0,0,1
440,3234000,4,1,2,1,0,1,0,0,0,0,0,1
441,3220000,3,1,2,1,0,0,0,0,0,0,0,1
442,3220000,2,1,1,1,0,0,0,1,1,0,0,1
443,3220000,3,1,1,0,0,0,0,0,1,0,0,1
444,3220000,3,1,2,0,0,0,0,0,0,0,0,0
445,3150000,1,1,1,1,0,0,0,0,0,0,0,0
446,3150000,2,2,1,0,1,1,0,0,1,0,0,1
447,3150000,2,1,1,0,0,1,0,0,0,0,1,0
448,3150000,2,1,1,1,0,0,0,0,2,0,1,0
449,3150000,3,1,2,0,0,1,0,0,0,0,0,1
450,3150000,3,1,2,1,0,1,0,0,0,0,1,0
451,3150000,2,1,1,1,0,0,0,0,0,0,1,0
452,3150000,3,1,2,1,0,0,0,0,2,0,1,0
453,3150000,2,1,1,1,0,0,0,0,1,0,0,1
454,3143000,3,1,2,1,0,0,0,1,0,0,0,1
455,3129000,3,1,1,1,0,1,0,0,0,0,0,1
456,3118850,3,1,1,1,0,0,0,0,0,1,1,0
457,3115000,3,1,1,0,0,0,0,1,0,0,0,1
458,3115000,3,1,2,1,0,0,0,0,0,0,0,1
459,3115000,2,1,1,1,0,0,0,0,0,0,0,1
460,3087000,2,1,1,1,0,0,0,0,1,0,0,1
461,3080000,2,1,1,1,0,1,0,1,0,0,0,1
